Date,Open,High,Low,Close,Adj Close,Volume
2025-01-29,446.69,446.88,440.4,442.33,440.64,23581400
2025-01-30,418.77,422.86,413.16,414.99,413.4,54586300
2025-01-31,418.98,420.69,414.91,415.06,413.47,34223400
2025-02-03,411.6,415.41,408.66,410.92,409.35,25679149
2025-02-04,412.69,413.92,409.74,412.37,410.79,20532100
2025-02-05,412.35,413.83,410.4,413.29,411.71,16336188
2025-02-06,414.0,418.2,414.0,415.82,414.23,16309800
2025-02-07,416.48,418.65,408.1,409.75,408.18,22886844
2025-02-10,413.71,415.46,410.92,412.22,410.64,20817919
2025-02-11,409.64,412.49,409.3,411.44,409.86,18140600
2025-02-12,407.21,410.75,404.37,409.04,407.47,19121734
2025-02-13,407.0,411.0,406.36,410.54,408.97,23891731
2025-02-14,407.79,408.91,405.88,408.43,406.87,22758500
2025-02-18,408.0,410.6,406.5,409.64,408.07,21423100
2025-02-19,407.88,415.49,407.65,414.77,413.18,24114200
2025-02-20,415.29,419.31,412.54,416.13,415.37,23508728
2025-02-21,417.34,418.05,407.89,408.21,407.46,27524800
2025-02-24,408.51,409.37,399.32,404.0,403.26,26443700
2025-02-25,401.1,401.92,396.7,397.9,397.17,29387402
2025-02-26,398.01,403.6,394.25,399.73,399.0,19619000
2025-02-27,401.27,405.74,392.17,392.53,391.81,21127406
2025-02-28,392.66,397.63,386.57,396.99,396.26,32845700
2025-03-03,398.82,398.82,386.16,388.49,387.78,23007726
2025-03-04,383.4,392.58,381.0,388.61,387.9,29342923
2025-03-05,389.34,401.67,388.81,401.02,400.29,23433132
2025-03-06,394.28,402.15,392.68,396.89,396.16,23304625
2025-03-07,392.32,394.8,385.54,393.31,392.59,22034100
2025-03-10,385.84,386.4,377.22,380.16,379.46,32840134
2025-03-11,379.0,386.0,376.91,380.45,379.75,30380200
2025-03-12,382.95,385.22,378.95,383.27,382.57,24253600
2025-03-13,383.16,385.32,377.45,378.77,378.08,20473017
2025-03-14,379.78,390.23,379.51,388.56,387.85,19952846
2025-03-17,386.7,392.71,385.57,388.7,387.99,22474300
2025-03-18,387.07,387.37,381.1,383.52,382.82,19486900
2025-03-19,385.53,389.68,384.0,387.82,387.11,19185532
2025-03-20,385.74,391.79,383.28,386.84,386.13,18470542
2025-03-21,383.22,391.74,382.8,391.26,390.54,39675928
2025-03-24,395.4,395.4,389.81,393.08,392.36,21004548
2025-03-25,393.92,396.36,392.64,395.16,394.44,15775000
2025-03-26,395.0,395.31,388.57,389.97,389.26,16132906
2025-03-27,390.13,392.24,387.4,390.58,389.86,13766800
2025-03-28,388.08,389.13,376.93,378.8,378.11,21632016
2025-03-31,372.54,377.07,367.24,375.39,374.7,35184700
2025-04-01,374.65,382.85,373.23,382.19,381.49,19689503
2025-04-02,377.97,385.08,376.62,382.14,381.44,16092600
2025-04-03,374.79,377.48,369.35,373.11,372.43,30198000
2025-04-04,364.13,374.59,359.48,359.84,359.18,49209900
2025-04-07,350.88,371.0,344.79,357.86,357.2,50425000
2025-04-08,368.26,373.65,350.25,354.56,353.91,35868918
2025-04-09,353.54,393.23,353.1,390.49,389.77,50199700
2025-04-10,382.06,383.9,367.8,381.35,380.65,38024400
2025-04-11,380.64,390.05,378.89,388.45,387.74,23839220
2025-04-14,393.22,394.65,384.21,387.81,387.1,19251200
2025-04-15,388.51,391.89,384.16,385.73,385.02,17199900
2025-04-16,380.67,381.61,368.0,371.61,370.93,21967826
2025-04-17,373.75,374.32,366.89,367.78,367.11,21120192
2025-04-21,362.82,364.48,355.67,359.12,358.46,20807300
2025-04-22,363.38,367.77,359.86,366.82,366.15,19485000
2025-04-23,376.06,380.39,373.02,374.39,373.7,20545526
2025-04-24,375.7,388.45,375.19,387.3,386.59,22232300
2025-04-25,387.0,392.16,384.6,391.85,391.13,18973200
2025-04-28,391.96,392.74,386.64,391.16,390.44,16579430
2025-04-29,391.3,395.1,390.38,394.04,393.32,14974000
2025-04-30,390.3,396.66,384.44,395.26,394.54,36461100
2025-05-01,431.11,436.99,424.9,425.4,424.62,58938100
2025-05-02,431.74,439.44,429.99,435.28,434.48,30757434
2025-05-05,432.87,439.5,432.11,436.17,435.37,20136100
2025-05-06,432.2,437.73,431.17,433.31,432.52,15104204
2025-05-07,433.84,438.12,431.11,433.35,432.56,23307241
2025-05-08,437.93,443.67,435.66,438.17,437.37,23491330
2025-05-09,440.0,440.74,435.88,438.73,437.93,15324233
2025-05-12,445.94,449.37,439.78,449.26,448.44,22821935
2025-05-13,447.78,450.67,445.36,449.14,448.32,23618819
2025-05-14,448.14,453.9,448.14,452.94,452.11,19902800
2025-05-15,450.77,456.19,450.43,453.13,453.13,21992323
2025-05-16,452.05,454.36,448.73,454.27,454.27,23849800
2025-05-19,450.88,459.59,450.8,458.87,458.87,21336509
2025-05-20,455.59,458.34,454.32,458.17,458.17,15441808
2025-05-21,454.57,457.78,451.81,452.57,452.57,19216906
2025-05-22,454.95,460.25,453.9,454.86,454.86,18025612
2025-05-23,449.98,453.69,448.91,450.18,450.18,16883509
2025-05-27,456.48,460.95,456.12,460.69,460.69,20974300
2025-05-28,461.22,462.52,456.93,457.36,457.36,17086300
2025-05-29,461.55,461.72,455.31,458.68,458.68,13982211
2025-05-30,459.72,461.68,455.54,460.36,460.36,34770500
2025-06-02,457.14,462.11,456.89,461.97,461.97,16626500
2025-06-03,461.47,464.14,460.86,462.97,462.97,15743800
2025-06-04,464.0,465.69,463.02,463.87,463.87,14162700
2025-06-05,464.96,469.65,464.03,467.68,467.68,20154500
2025-06-06,470.09,473.34,468.78,470.38,470.38,15285624
2025-06-09,469.7,473.43,468.62,472.75,472.75,16469932
2025-06-10,471.19,472.8,466.96,470.92,470.92,15375944
2025-06-11,470.02,475.47,469.66,472.62,472.62,16399200
2025-06-12,475.02,480.42,473.52,478.87,478.87,18950600
2025-06-13,476.41,479.18,472.76,474.96,474.96,16814500
2025-06-16,475.21,480.69,475.0,479.14,479.14,15626104
2025-06-17,475.4,478.74,474.08,478.04,478.04,15414128
2025-06-18,478.0,481.0,474.46,480.24,480.24,17526500
2025-06-20,482.23,483.46,476.87,477.4,477.4,37576206
2025-06-23,478.21,487.75,472.51,486.0,486.0,24864000
2025-06-24,488.95,491.85,486.8,490.11,490.11,22305642
2025-06-25,492.04,494.56,489.39,492.27,492.27,17495100
2025-06-26,492.98,498.04,492.81,497.45,497.45,21578900
2025-06-27,497.55,499.3,493.03,495.94,495.94,34539236
2025-06-30,497.04,500.76,495.33,497.41,497.41,28369000
2025-07-01,496.47,498.05,490.98,492.05,492.05,19945400
2025-07-02,489.99,493.5,488.7,491.09,491.09,16319641
2025-07-03,493.81,500.13,493.44,498.84,498.84,13984829
2025-07-07,497.38,498.75,495.23,497.72,497.72,13981605
2025-07-08,497.24,498.2,494.11,496.62,496.62,11846600
2025-07-09,500.3,506.78,499.74,503.51,503.51,18659538
2025-07-10,503.05,504.44,497.75,501.48,501.48,16498740
2025-07-11,498.47,505.03,497.8,503.32,503.32,16459512
2025-07-14,501.52,503.97,501.03,503.02,503.02,12058848
2025-07-15,503.02,508.3,502.79,505.82,505.82,14927202
2025-07-16,505.18,506.72,501.89,505.62,505.62,15154400
2025-07-17,505.68,513.37,505.62,511.7,511.7,17503129
2025-07-18,514.48,514.64,507.43,510.05,510.05,21209700
2025-07-21,506.71,512.09,505.55,510.06,510.06,14066805
2025-07-22,510.97,511.2,505.27,505.27,505.27,13868644
2025-07-23,506.75,506.79,500.7,505.87,505.87,16396600
2025-07-24,508.77,513.67,507.3,510.88,510.88,16107000
2025-07-25,512.47,518.29,510.36,513.71,513.71,19125700
2025-07-28,514.08,515.0,510.12,512.5,512.5,14308027
2025-07-29,515.53,517.62,511.56,512.57,512.57,16469235
2025-07-30,515.17,515.95,509.44,513.24,513.24,26380434
2025-07-31,555.23,555.45,531.9,533.5,533.5,51617326
2025-08-01,535.0,535.8,520.86,524.11,524.11,28977628
2025-08-04,528.27,538.25,528.13,535.64,535.64,25349004
2025-08-05,537.18,537.3,527.24,527.75,527.75,19171600
2025-08-06,530.9,531.7,524.03,524.94,524.94,21355702
2025-08-07,526.8,528.09,517.55,520.84,520.84,16079144
2025-08-08,522.6,524.66,519.41,522.04,522.04,15531009
2025-08-11,522.3,527.59,519.72,521.77,521.77,20194400
2025-08-12,523.75,530.98,522.7,529.24,529.24,18688921
2025-08-13,532.11,532.7,519.37,520.58,520.58,19619200
2025-08-14,522.56,525.95,520.14,522.48,522.48,20269100
2025-08-15,522.77,526.1,519.08,520.17,520.17,25213272
