Date,Open,High,Low,Close,Adj Close,Volume
2025-01-29,126.5,126.89,120.05,123.7,123.68,467120640
2025-01-30,123.1,125.0,118.1,124.65,124.63,392925500
2025-01-31,123.78,127.85,119.19,120.07,120.05,390372900
2025-02-03,114.75,118.57,113.01,116.66,116.64,371235700
2025-02-04,116.96,121.2,116.7,118.65,118.63,256550040
2025-02-05,121.76,125.0,120.76,124.83,124.81,263110629
2025-02-06,127.42,128.77,125.21,128.68,128.66,251483600
2025-02-07,129.22,130.37,125.0,129.84,129.82,228186300
2025-02-10,130.09,135.0,129.96,133.57,133.55,216989100
2025-02-11,132.58,134.48,131.02,132.8,132.78,178902400
2025-02-12,130.02,132.24,129.08,131.14,131.12,160278600
2025-02-13,131.56,136.5,131.17,135.29,135.27,197430000
2025-02-14,136.48,139.25,135.5,138.85,138.83,195479600
2025-02-18,141.27,143.44,137.93,139.4,139.38,219176627
2025-02-19,139.51,141.36,137.22,139.23,139.21,167536006
2025-02-20,140.03,140.66,136.79,140.11,140.09,143903600
2025-02-21,140.04,141.46,134.03,134.43,134.41,228217600
2025-02-24,136.56,138.59,130.08,130.28,130.26,251381137
2025-02-25,129.98,130.2,124.44,126.63,126.61,271428711
2025-02-26,129.99,133.73,128.49,131.28,131.26,322553814
2025-02-27,135.0,135.01,120.01,120.15,120.13,443175846
2025-02-28,118.02,125.09,116.4,124.92,124.9,389091145
2025-03-03,123.51,123.7,112.28,114.06,114.04,411381400
2025-03-04,110.65,119.31,110.11,115.99,115.97,398163305
2025-03-05,117.58,118.28,114.51,117.3,117.28,284337900
2025-03-06,113.53,115.35,110.22,110.57,110.55,321181900
2025-03-07,111.25,113.48,107.56,112.69,112.67,341755500
2025-03-10,109.9,111.85,105.46,106.98,106.96,366487400
2025-03-11,106.99,112.24,104.77,108.76,108.74,354865700
2025-03-12,114.12,116.76,112.88,115.74,115.73,323857500
2025-03-13,117.03,117.76,113.79,115.58,115.57,299033131
2025-03-14,118.61,121.88,118.15,121.67,121.66,277593500
2025-03-17,122.74,122.89,118.03,119.53,119.52,255501500
2025-03-18,118.0,119.02,114.54,115.43,115.42,299686944
2025-03-19,117.27,120.45,115.68,117.52,117.51,273426225
2025-03-20,116.55,120.2,116.47,118.53,118.52,248829749
2025-03-21,116.94,117.99,115.42,117.7,117.69,266498528
2025-03-24,119.88,122.22,119.34,121.41,121.4,228452534
2025-03-25,120.55,121.29,118.92,120.69,120.68,167447200
2025-03-26,118.73,118.84,112.71,113.76,113.75,296431667
2025-03-27,111.35,114.45,110.66,111.43,111.42,236902100
2025-03-28,111.49,112.87,109.07,109.67,109.66,229872549
2025-03-31,105.13,110.96,103.65,108.38,108.37,299212700
2025-04-01,108.52,110.2,106.47,110.15,110.14,222614034
2025-04-02,107.29,111.98,106.79,110.42,110.41,220601243
2025-04-03,103.51,105.63,101.6,101.8,101.79,338769412
2025-04-04,98.91,100.13,92.11,94.31,94.3,532273810
2025-04-07,87.46,101.75,86.62,97.64,97.63,611041347
2025-04-08,103.81,105.85,94.46,96.3,96.29,476243400
2025-04-09,98.89,115.1,97.53,114.33,114.32,612918336
2025-04-10,109.37,110.86,99.15,107.57,107.56,437812400
2025-04-11,108.5,111.55,107.48,110.93,110.92,313417300
2025-04-14,114.11,114.29,109.07,110.71,110.7,264705049
2025-04-15,110.97,113.62,110.5,112.2,112.19,228966900
2025-04-16,104.55,106.79,100.45,104.49,104.48,397016900
2025-04-17,104.45,104.47,100.05,101.49,101.48,292517465
2025-04-21,98.77,99.44,95.04,96.91,96.9,288501136
2025-04-22,98.78,99.81,97.28,98.89,98.88,241004800
2025-04-23,104.52,104.8,102.02,102.71,102.7,247526000
2025-04-24,103.48,106.54,103.11,106.43,106.42,220815041
2025-04-25,106.85,111.92,105.73,111.01,111.0,251064700
2025-04-28,109.69,110.37,106.02,108.73,108.72,207708500
2025-04-29,107.67,110.2,107.44,109.02,109.01,170444300
2025-04-30,104.47,108.92,104.08,108.92,108.91,235044611
2025-05-01,113.08,114.94,111.3,111.61,111.6,236121507
2025-05-02,114.18,115.4,113.37,114.5,114.49,190194800
2025-05-05,112.91,114.67,112.66,113.82,113.81,133163241
2025-05-06,111.48,114.74,110.82,113.54,113.53,158525621
2025-05-07,113.05,117.68,112.28,117.06,117.05,207827821
2025-05-08,118.25,118.68,115.85,117.37,117.36,198428122
2025-05-09,117.35,118.23,115.21,116.65,116.64,132972200
2025-05-12,121.97,123.0,120.28,123.0,122.99,225023345
2025-05-13,124.98,131.22,124.47,129.93,129.92,330430105
2025-05-14,133.2,135.44,131.68,135.34,135.33,281180830
2025-05-15,134.29,136.3,132.66,134.83,134.82,226632600
2025-05-16,136.22,136.35,133.46,135.4,135.39,226542500
2025-05-19,132.39,135.87,132.39,135.57,135.56,193154600
2025-05-20,134.29,134.58,132.62,134.38,134.37,161514247
2025-05-21,133.06,137.4,130.59,131.8,131.79,270608738
2025-05-22,132.23,134.25,131.55,132.83,132.82,187344000
2025-05-23,130.0,132.68,129.16,131.29,131.28,198821324
2025-05-27,134.15,135.66,133.31,135.5,135.49,192953613
2025-05-28,136.03,137.25,134.79,134.81,134.8,304021146
2025-05-29,142.25,143.49,137.91,139.19,139.18,370615167
2025-05-30,138.72,139.62,132.92,135.13,135.12,333170900
2025-06-02,135.49,138.12,135.4,137.38,137.37,197663116
2025-06-03,138.78,142.0,137.95,141.22,141.21,225578800
2025-06-04,142.19,142.39,139.54,141.92,141.91,167120819
2025-06-05,142.17,144.0,138.83,139.99,139.98,232410759
2025-06-06,142.51,143.27,141.51,141.72,141.71,153986200
2025-06-09,143.19,145.0,141.94,142.63,142.62,185114500
2025-06-10,142.69,144.29,141.53,143.96,143.95,155881900
2025-06-11,144.61,144.99,141.87,142.83,142.83,167694044
2025-06-12,141.97,145.0,141.85,145.0,145.0,162365000
2025-06-13,142.48,143.58,140.85,141.97,141.97,180820600
2025-06-16,143.35,146.18,143.2,144.69,144.69,183133700
2025-06-17,144.49,145.22,143.78,144.12,144.12,139108000
2025-06-18,144.01,145.65,143.12,145.48,145.48,161494121
2025-06-20,145.45,146.2,142.65,143.85,143.85,242956200
2025-06-23,142.5,144.78,142.03,144.17,144.17,154308941
2025-06-24,145.56,147.96,145.5,147.9,147.9,187566121
2025-06-25,149.27,154.45,149.26,154.31,154.31,269146500
2025-06-26,155.98,156.72,154.0,155.02,155.02,198145746
2025-06-27,156.04,158.71,155.26,157.75,157.75,263234539
2025-06-30,158.4,158.66,155.96,157.99,157.99,194580316
2025-07-01,156.29,157.2,151.49,153.3,153.3,213143621
2025-07-02,152.98,157.6,152.97,157.25,157.25,171224111
2025-07-03,158.37,160.98,157.77,159.34,159.34,143716100
2025-07-07,158.2,159.31,157.34,158.24,158.24,140139000
