datetime,forecast_mean,forecast_lower,forecast_upper,confidence_interval
2025-09-02 20:30:00+00:00,229.47682,229.43736,229.51628,0.07891846
2025-09-02 21:30:00+00:00,229.37943,229.33997,229.41888,0.07891846
2025-09-02 22:30:00+00:00,229.27946,229.24,229.31892,0.07891846
2025-09-02 23:30:00+00:00,229.18524,229.14578,229.2247,0.07891846
2025-09-03 00:30:00+00:00,229.09586,229.0564,229.13531,0.07891846
2025-09-03 01:30:00+00:00,229.01347,228.97401,229.05293,0.07891846
2025-09-03 02:30:00+00:00,228.93636,228.8969,228.97581,0.07891846
2025-09-03 03:30:00+00:00,228.8619,228.82243,228.90135,0.07891846
2025-09-03 04:30:00+00:00,228.79233,228.75287,228.83179,0.07891846
2025-09-03 05:30:00+00:00,228.72984,228.69038,228.7693,0.07891846
2025-09-03 06:30:00+00:00,228.67305,228.63359,228.71251,0.07891846
2025-09-03 07:30:00+00:00,228.62297,228.58351,228.66243,0.07891846
2025-09-03 08:30:00+00:00,228.5759,228.53644,228.61536,0.07891846
2025-09-03 09:30:00+00:00,228.53206,228.4926,228.57152,0.07891846
2025-09-03 10:30:00+00:00,228.4931,228.45364,228.53256,0.07891846
2025-09-03 11:30:00+00:00,228.45839,228.41893,228.49785,0.07891846
2025-09-03 12:30:00+00:00,228.42523,228.38577,228.46469,0.07891846
2025-09-03 13:30:00+00:00,228.39342,228.35396,228.43288,0.07891846
2025-09-03 14:30:00+00:00,228.36385,228.32439,228.4033,0.07891846
2025-09-03 15:30:00+00:00,228.34178,228.30232,228.38124,0.07891846
2025-09-03 16:30:00+00:00,228.32986,228.2904,228.36932,0.07891846
2025-09-03 17:30:00+00:00,228.31674,228.27728,228.3562,0.07891846
2025-09-03 18:30:00+00:00,228.30103,228.26157,228.34048,0.07891846
2025-09-03 19:30:00+00:00,228.28543,228.24597,228.32489,0.07891846
2025-09-03 20:30:00+00:00,228.26826,228.2288,228.30772,0.07891846
2025-09-03 21:30:00+00:00,228.25006,228.2106,228.28952,0.07891846
2025-09-03 22:30:00+00:00,228.23338,228.19392,228.27284,0.07891846
2025-09-03 23:30:00+00:00,228.21814,228.17868,228.2576,0.07891846
2025-09-04 00:30:00+00:00,228.20418,228.16472,228.24364,0.07891846
2025-09-04 01:30:00+00:00,228.19138,228.15192,228.23083,0.07891846
2025-09-04 02:30:00+00:00,228.17958,228.14012,228.21904,0.07891846
2025-09-04 03:30:00+00:00,228.16872,228.12926,228.20818,0.07891846
2025-09-04 04:30:00+00:00,228.15868,228.11922,228.19814,0.07891846
2025-09-04 05:30:00+00:00,228.1494,228.10994,228.18886,0.07891846
2025-09-04 06:30:00+00:00,228.14078,228.10132,228.18024,0.07891846
2025-09-04 07:30:00+00:00,228.13278,228.09332,228.17224,0.07891846
2025-09-04 08:30:00+00:00,228.12532,228.08586,228.16478,0.07891846
2025-09-04 09:30:00+00:00,228.11836,228.0789,228.15782,0.07891846
2025-09-04 10:30:00+00:00,228.1119,228.07243,228.15135,0.07891846
2025-09-04 11:30:00+00:00,228.10583,228.06638,228.1453,0.07891846
2025-09-04 12:30:00+00:00,228.10019,228.06073,228.13965,0.07891846
2025-09-04 13:30:00+00:00,228.09491,228.05545,228.13437,0.07891846
2025-09-04 14:30:00+00:00,228.09,228.05054,228.12946,0.07891846
2025-09-04 15:30:00+00:00,228.0854,228.04594,228.12486,0.07891846
2025-09-04 16:30:00+00:00,228.0811,228.04164,228.12056,0.07891846
2025-09-04 17:30:00+00:00,228.07703,228.03757,228.11649,0.07891846
2025-09-04 18:30:00+00:00,228.07321,228.03375,228.11267,0.07891846
2025-09-04 19:30:00+00:00,228.06963,228.03017,228.10909,0.07891846
2025-09-04 20:30:00+00:00,228.0663,228.02684,228.10576,0.07891846
2025-09-04 21:30:00+00:00,228.06317,228.02371,228.10263,0.07891846
2025-09-04 22:30:00+00:00,228.06029,228.02083,228.09975,0.07891846
2025-09-04 23:30:00+00:00,228.05759,228.01813,228.09705,0.07891846
2025-09-05 00:30:00+00:00,228.05508,228.01562,228.09454,0.07891846
2025-09-05 01:30:00+00:00,228.05275,228.01329,228.09221,0.07891846
2025-09-05 02:30:00+00:00,228.05055,228.0111,228.09001,0.07891846
2025-09-05 03:30:00+00:00,228.04851,228.00905,228.08797,0.07891846
2025-09-05 04:30:00+00:00,228.04662,228.00716,228.08607,0.07891846
2025-09-05 05:30:00+00:00,228.04483,228.00537,228.08429,0.07891846
2025-09-05 06:30:00+00:00,228.04318,228.00372,228.08264,0.07891846
2025-09-05 07:30:00+00:00,228.04163,228.00217,228.08109,0.07891846
2025-09-05 08:30:00+00:00,228.04018,228.00072,228.07964,0.07891846
2025-09-05 09:30:00+00:00,228.03882,227.99936,228.07828,0.07891846
2025-09-05 10:30:00+00:00,228.03755,227.9981,228.07701,0.07891846
2025-09-05 11:30:00+00:00,228.03638,227.99692,228.07584,0.07891846
2025-09-05 12:30:00+00:00,228.03528,227.99582,228.07474,0.07891846
2025-09-05 13:30:00+00:00,228.03424,227.99478,228.0737,0.07891846
2025-09-05 14:30:00+00:00,228.03328,227.99382,228.07274,0.07891846
2025-09-05 15:30:00+00:00,228.03238,227.99292,228.07184,0.07891846
2025-09-05 16:30:00+00:00,228.03156,227.9921,228.07101,0.07891846
2025-09-05 17:30:00+00:00,228.03076,227.9913,228.07022,0.07891846
2025-09-05 18:30:00+00:00,228.03003,227.99057,228.06949,0.07891846
2025-09-05 19:30:00+00:00,228.02936,227.9899,228.06882,0.07891846
2025-09-05 20:30:00+00:00,228.02872,227.98926,228.06818,0.07891846
2025-09-05 21:30:00+00:00,228.02812,227.98866,228.06758,0.07891846
2025-09-05 22:30:00+00:00,228.02756,227.9881,228.06702,0.07891846
2025-09-05 23:30:00+00:00,228.02704,227.98758,228.0665,0.07891846
2025-09-06 00:30:00+00:00,228.02655,227.98709,228.06601,0.07891846
